zone,,1
so,,13
so';,1
so!),1
so!,2
so,96
snuff,1
snow?,1
snow-,1
snow,,2
snatches,1
smote,1
smoothness.,1
smooth,2
smiling,,1
smiling,2
smiles,1
smile,,2
smelt,1
smells,1
smelling,1
smear'd,1
smart,1
small,1
slow,3
sliver,1
slips,1
slings,1
slightly,,1
slightly,1
slight,1
slender,1
sleeps.,2
sleeps,2
sleeping,,1
sleeping,2
sleeper's,1
sleep:,1
sleep.,3
sleep-,2
sleep,,2
sleep,3
sledded,1
slay,1
slave,,1
slave's,1
slave,3
slaughters;,1
slaughter.,1
slander-],1
slander,1
slain?,1
slain;,2
slain,,1
slain!,1
slain,1
skyish,1
skull].,1
skull.],3
skull,,2
skull,4
skirts,1
skin,1
skill.,1
skill,2
siz'd,,1
sixteen,1
six,3
sitting,1
sits.,1
sits,2
sit,7
sister,,4
sister's,1
sister,3
sirs.,2
sirrah?,1
sir?,5
sir;,8
sir.-,1
sir.,14
sir-,1
sir,-,1
sir,',1
sir,,29
sir!,3
sipping,,1
sins,1
sinners?,1
sings.,1
sings,1
single,2
singeth,1
sing?,1
sing,4
sinews,,1
sinews,1
since?,1
since,,1
since,7
sin,,1
sin's,1
sin,1
simples,1
simple,1
silver'd.,1
silence.,1
silence,4
signify,2
signet,1
sight?,2
sight.,1
sight,,3
sight,3
sighs.,1
sigh,,2
sigh,2
sift,1
siege.,1
sides;,1
sides.,2
side.,1
side,1
sickness,,1
sickness,1
sickly,2
sicklied,1
sick,4
shut,1
shuffling;,1
shuffling,,1
shuffled,1
shrunk,1
shrouding,1
shroud,1
shriving,1
shrill-sounding,1
shrewdly;,1
shreds,1
shows,7
shown,,1
shown,1
showing.,1
showers.,1
show-,1
show,,2
show,19
shovel,,1
shove,1
shouldst,2
shoulder],1
shoulder,2
should,51
shot-,1
shot,5
shortly,4
shortens,1
short;,1
short,,1
short,3
shoot.,1
shoon.,1
shook,1
shoes,,1
shoes,1
shoe?,1
shocks,1
shirt,,1
shipwrights,,1
shipwright,,2
shipped,1
ship;,1
ship,1
shine,,1
shift,1
shepherds,1
shent,,1
shell,1
shelf,1
sheets!,1
sheeted,1
