,1057
snow,,2
escape,2
marry,2
nunnery,,2
heavenly,2
face,,2
creatures,2
glass,2
quite,2
wretched,,2
suck'd,2
music,2
vows,,2
tune,2
O'er,2
demand,2
neglected,2
variable,2
expel,2
brains,2
plac'd,2
ones,2
hall,2
mouth,2
tear,2
avoid,2
Player.,2
word,,2
playing,,2
nature;,2
tardy,2
laugh,,2
men,,2
necessary,2
ready.,2
just,2
join,2
fares,2
answer,,2
mine.,2
capital,2
lap?,2
nothing,,2
cheerfully,2
up,,2
kisses,2
Poisoner,2
harsh,2
fellow.,2
[Exit.],2
wash,2
ground,,2
twelve,2
know;,2
great,,2
fears,2
powers,2
do.,2
haply,2
rest!,2
None,2
accident.,2
fortunes,2
tend,,2
want,2
enemy.,2
ours,,2
own.,2
trust,2
mischance,2
play?,2
she'll,2
in't?,2
no!,2
jest,,2
world.,2
wife,,2
knavish,2
work;,2
Majesty,,2
souls,,2
cost,2
Thoughts,2
creature,2
rank,,2
for's,2
estate.,2
murtherer,2
Away!,2
runs,2
Jove,2
music!,2
recorders!,2
choler.,2
signify,2
wildly,2
affair.,2
tame,,2
command;,2
rather,,2
amazement,2
closet,2
trade,2
door,2
deny,2
Denmark?,2
you-,2
pipe?,2
pluck,2
instrument,2
yonder,2
weasel.,2
whale.,2
by-and-by.,2
Hamlet.],2
Soft!,2
cruel,,2
daggers,2
safe,2
prepare,2
single,2
Dies,2
sigh,,2
Gentlemen.,2
closet.,2
Behind,2
heaven;,2
murther!,2
begin,,2
serves,2
offence?,2
prayer,2
fall,,2
pardon'd,2
serve,2
forehead,2
Help,,2
soft,2
revenge!,2
broad,2
knows,2
No.,2
pleasure,2
bed;,2
whereto,2
sickly,2
home,2
Grace,2
forgot,2
so!,2
[behind],2
and],2
done?,2
king?,2
sees,2
rash,,2
fortune.,2
rude,2
there;,2
Ay,2
loud,2
assurance,2
step,2
ne'er,2
feeling,2
corruption,,2
making,2
Over,2
precedent,2
precious,2
stole,2
Save,2
fighting,2
Conceit,2
lady?,2
soldiers,2
flame,2
Lay,2
unction,2
spread,2
scourge,2
wanton,2
pair,2
neck,2
basket,2
ape,,2
England;,2
blow,2
guts,2
providence,2
skill,2
Ho,,2
Guildenstern!,2
chapel.,2
level,2
hit,2
passage,2
dry,2
sleeps,2
eyes;,2
pleasure.,2
worm,2
table.,2
fish,2
thither,2
Attendants.],2
everything,2
England?,2
England!,2
awe,2
effect,,2
For.,2
promis'd,2
kingdom.,2
Poland,,2
Truly,2
gain,2
patch,2
ground,2
yield,2
Polack,2
twenty,2
delicate,2
trick,2
fame,2
fight,2
continent,2
Gent.,2
amiss.,2
Ophelia,2
true-love,2
Larded,2
Lord,,2
To-morrow,2
Ophelia!,2
do't,2
blame.,2
thus?,2
cold,2
ladies.,2
Horatio.],2
slain;,2
wonder,,2
clouds,,2
person,2
within.,2
door.,2
Messenger.,2
king!',2
tongues,2
Keep,2
calm,2
divinity,2
incens'd.,2
possible,2
wits,2
nony,,2
becomes,2
remember.,2
rue,2
again?,2
dead;,2
right.,2
Sailor.,2
got,2
repair,2
knowing,2
reasons,,2
moves,2
desp'rate,2
flat,2
undertake,2
Under,2
practice,2
envy,2
in't.,2
horse,2
begun,2
excellence,2
heads.,2
liberal,2
drown'd,2
Argal,,2
dig,2
builds,2
mason,,2
shipwright,,2
carpenter?,2
afar,2
Methought,2
prais'd,2
Mine,2
spade,,2
clay,2
guest,2
fines,,2
liest,2
lie,,2
absolute,2
is!,2
taken,2
years.,2
nine,2
skull,,2
trace,2
consider,2
earth;,2
ceremony,2
grave.,2
treble,2
[The,2
Attendants,2
Woo't,2
plots,2
peace,2
less,,2
quit,2
here?,2
Horatio],2
spirit.,2
Barbary,2
impon'd,,2
assigns,,2
sides.,2
hall.,2
win,2
odds.,2
wine,2
embrace,2
Osric.,2
hit,,2
ordnance,2
union,2
hit.,2
drink.,2
cup.,2
late.,2
[Laertes,2
wounds,2
drink!,2
poison'd.,2
Dies.,2
Death,,2
[March,2
within.],2
TRAGEDY,1
HAMLET,,1
PRINCE,1
DENMARK,1
William,1
Shakespeare,1
Dramatis,1
Personae,1
Officer.,1
former,,1
Chamberlain.,1
Gentleman,,1
gravediggers.,1
Prince,1
Norway.,1
Norwegian,1
Captain.,1
Getrude,,1
Father.,1
ladies,,1
Officers,,1
Soldiers,,1
Messengers,,1
SCENE.-,1
Sentinels-[first,],1
paces,1
post;,1
approaches,1
Who's,1
there.?,1
King!,1
Bernardo?,1
He.,1
carefully,1
hour.,1
Francisco.,1
relief,1
guard?,1
mouse,1
stirring.,1
rivals,1
Stand,,1
liegemen,1
farewell,,1
soldier.,1
reliev'd,1
